Date,BCB_Commercial_Exports_Total,BCB_Commercial_Exports_Advances_on_Contracts,BCB_Commercial_Exports_Payment_Advance,BCB_Commercial_Exports_Others,BCB_Commercial_Imports,BCB_Commercial_Balance,BCB_Financial_Purchases,BCB_Financial_Sales,BCB_Financial_Balance,BCB_Balance
12/26/2017,1146.610331,296.353667,88.3659805,761.8906834,578.9015332,567.7087977,1221.175652,2646.145583,-1424.969931,-857.2611337
12/27/2017,1623.328095,90.26276984,698.0534432,835.0118822,942.529961,680.7981343,2654.498235,3140.626529,-486.1282941,194.6698402
12/28/2017,1742.206694,78.39692462,1051.965436,611.8443338,1094.481278,647.7254167,2420.62527,5505.198156,-3084.572886,-2436.847469
5/18/2017,901.42506628,126.84033359,356.04701902,418.53771367,482.83159995,418.59346633,2691.08586198,2858.6639693699994,-167.57810738999933,251.01535894000068
5/17/2017,914.14647651,102.60475404,292.34322459,519.19849788,494.50432462000003,419.6421518899999,1938.90099296,1490.7378162899997,448.1631766700002,867.8053285600001
5/16/2017,845.72669718,213.00286832,200.55778965,432.16603921,696.87162985,148.85506733,2041.9513575,3071.48549458,-1029.5341370799997,-880.6790697499997
